featureIdInt,featureIdName,name,preferenceKey,target,phase,installer,installHook,enableCondition,allowedProcess,deniedProcess
1,temp_hide_overlay_app,Temp Hide Overlay App,system_screenshot_overlay,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.TempHideOverlayAppHook(lpparam),"prefs.getBoolean(""system_screenshot_overlay"")",system_server,
2,open_app_in_free_form,Open App In Free Form,system_notify_openinfw,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.OpenAppInFreeFormHook(lpparam),"prefs.getBoolean(""system_notify_openinfw"") || prefs.getBoolean(""system_fw_forcein_actionsend"") || prefs.getBoolean(""system_betterpopups_allowfloat"") || prefs.getBoolean(""system_cc_freeform_when_longclick"")",system_server,
3,nav_bar_actions,Nav Bar Actions,controls_backlong_action,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.NavBarActionsHook(lpparam),"prefs.getInt(""controls_backlong_action"", 1) > 1 || prefs.getInt(""controls_homelong_action"", 1) > 1 || prefs.getInt(""controls_menulong_action"", 1) > 1",system_server,
4,power_double_tap_action,Power Double Tap Action,controls_powerdt_action,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.PowerDoubleTapActionHook(lpparam),"prefs.getInt(""controls_powerdt_action"", 1) > 1 || prefs.getBoolean(""controls_volumedowndt_torch"")",system_server,
5,screen_anim,Screen Anim,system_screenanim_duration,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.ScreenAnimHook(lpparam),"prefs.getInt(""system_screenanim_duration"", 0) > 0",system_server,
6,app_lock_timeout,App Lock Timeout,system_applock_timeout,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.AppLockTimeoutHook(lpparam),"prefs.getInt(""system_applock_timeout"", 1) > 1",system_server,
7,screen_dim_time,Screen Dim Time,system_dimtime,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.ScreenDimTimeHook(lpparam),"prefs.getInt(""system_dimtime"", 0) > 0",system_server,
8,toast_time,Toast Time,system_toasttime,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,ModsSystem.ToastTimeHook(lpparam),"prefs.getInt(""system_toasttime"", 0) > 0",system_server,
9,remove_secure,Remove Secure,system_removesecure,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.RemoveSecureHook(lpparam),"prefs.getBoolean(""system_removesecure"")",system_server,
10,remove_act_start_confirm,Remove Act Start Confirm,system_remove_startactconfirm,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.RemoveActStartConfirmHook(lpparam),"prefs.getBoolean(""system_remove_startactconfirm"")",system_server,
11,enhanced_security,Enhanced Security,system_securelock,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.EnhancedSecurityHook(lpparam),"prefs.getBoolean(""system_securelock"")",system_server,
12,no_version_check,No Version Check,system_downgrade,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.NoVersionCheckHook(lpparam),"prefs.getBoolean(""system_downgrade"")",system_server,
13,orientation_lock,Orientation Lock,system_orientationlock,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.OrientationLockHook(lpparam),"prefs.getBoolean(""system_orientationlock"")",system_server,
14,no_ducking,No Ducking,system_noducking,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemAudioHooks.NoDuckingHook(lpparam),"prefs.getBoolean(""system_noducking"")",system_server,
15,clean_share_menu_service,Clean Share Menu Service,system_cleanshare,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemShareMenuHooks.CleanShareMenuServiceHook(lpparam),"prefs.getBoolean(""system_cleanshare"")",system_server,
16,clean_open_with_menu_service,Clean Open With Menu Service,system_cleanopenwith,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemShareMenuHooks.CleanOpenWithMenuServiceHook(lpparam),"prefs.getBoolean(""system_cleanopenwith"")",system_server,
17,auto_brightness_range,Auto Brightness Range,system_autobrightness,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.AutoBrightnessRangeHook(lpparam),"prefs.getBoolean(""system_autobrightness"")",system_server,
18,auto_brightness_after_screen_off,Auto Brightness After Screen Off,system_autobrightness_reset_when_screenoff,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.AutoBrightnessAfterScreenOffHook(lpparam),"prefs.getBoolean(""system_autobrightness_reset_when_screenoff"")",system_server,
19,disable72h_strong_auth,Disable72h Strong Auth,system_lockscreen_disable_strongauth_72h,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.Disable72hStrongAuthHook(lpparam),"prefs.getBoolean(""system_lockscreen_disable_strongauth_72h"")",system_server,
20,app_lock,App Lock,system_applock,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.AppLockHook(lpparam),"prefs.getBoolean(""system_applock"")",system_server,
21,skip_app_lock,Skip App Lock,system_applock_skip,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.SkipAppLockHook(lpparam),"prefs.getBoolean(""system_applock_skip"")",system_server,
22,alarm_compat_service,Alarm Compat Service,various_alarmcompat,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Various.AlarmCompatServiceHook(lpparam),"prefs.getBoolean(""various_alarmcompat"")",system_server,
23,no_call_interruption,No Call Interruption,system_ignorecalls,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemAudioHooks.NoCallInterruptionHook(lpparam),"prefs.getBoolean(""system_ignorecalls"")",system_server,
24,force_close,Force Close,system_forceclose,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,ModsSystem.ForceCloseHook(lpparam),"prefs.getBoolean(""system_forceclose"")",system_server,
25,hide_proximity_warning,Hide Proximity Warning,system_hideproxywarn,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,ModsSystem.HideProximityWarningHook(lpparam),"prefs.getBoolean(""system_hideproxywarn"")",system_server,
26,first_volume_press,First Volume Press,system_firstpress,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemAudioHooks.FirstVolumePressHook(lpparam),"prefs.getBoolean(""system_firstpress"")",system_server,
27,no_signature_verify_service,No Signature Verify Service,system_apksign,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.NoSignatureVerifyServiceHook(lpparam),"prefs.getBoolean(""system_apksign"")",system_server,
28,disable_system_integrity,Disable System Integrity,system_disableintegrity,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.DisableSystemIntegrityHook(lpparam),"prefs.getBoolean(""system_disableintegrity"")",system_server,
29,muffled_vibration,Muffled Vibration,system_vibration_amp,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemAudioHooks.MuffledVibrationHook(lpparam),"prefs.getBoolean(""system_vibration_amp"")",system_server,
30,clear_all_tasks,Clear All Tasks,system_clearalltasks,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,ModsSystem.ClearAllTasksHook(lpparam),"prefs.getBoolean(""system_clearalltasks"")",system_server,
31,force_dark_all_apps,Force Dark All Apps,system_force_darken_allapps,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.ForceDarkAllAppsHook(lpparam),"prefs.getBoolean(""system_force_darken_allapps"")",system_server,
32,set_lockscreen_wallpaper,Set Lockscreen Wallpaper,system_lswallpaper,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemLockScreenHooks.SetLockscreenWallpaperHook(lpparam),"prefs.getBoolean(""system_lswallpaper"")",system_server,
33,power_key,Power Key,controls_powerflash,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.PowerKeyHook(lpparam),"prefs.getBoolean(""controls_powerflash"")",system_server,
34,fingerprint_haptic_failure,Fingerprint Haptic Failure,controls_fingerprintfailure,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.FingerprintHapticFailureHook(lpparam),"prefs.getBoolean(""controls_fingerprintfailure"")",system_server,
35,fingerprint_screen_on,Fingerprint Screen On,controls_fingerprintscreen,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.FingerprintScreenOnHook(lpparam),"prefs.getBoolean(""controls_fingerprintscreen"")",system_server,
36,no_fingerprint_wake,No Fingerprint Wake,controls_fingerprintwake,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.NoFingerprintWakeHook(lpparam),"prefs.getBoolean(""controls_fingerprintwake"")",system_server,
37,apps_disable_service,Apps Disable Service,various_disableapp,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Various.AppsDisableServiceHook(lpparam),"prefs.getBoolean(""various_disableapp"")",system_server,
38,disable_any_notification_block,Disable Any Notification Block,system_disableanynotif,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemNotificationHooks.DisableAnyNotificationBlockHook(lpparam),"prefs.getBoolean(""system_disableanynotif"")",system_server,
39,all_rotations,All Rotations,system_allrotations2,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.AllRotationsHook(lpparam),"prefs.getStringAsInt(""system_allrotations2"", 1) > 1",system_server,
40,no_light_up_on_charge,No Light Up On Charge,system_nolightuponcharges,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.NoLightUpOnChargeHook(lpparam),"prefs.getStringAsInt(""system_nolightuponcharges"", 1) == 2",system_server,
